shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
100429_DEC16,34.02723809,-118.2668978,690001
100429_DEC16,34.02679775,-118.2659624,690002
100429_DEC16,34.02631363,-118.2649378,690003
100429_DEC16,34.02590335,-118.2640685,690004
100429_DEC16,34.02590335,-118.2640685,700001
100429_DEC16,34.02583497,-118.2639231,700002
100429_DEC16,34.02514431,-118.2643566,700003
100429_DEC16,34.02443989,-118.2647999,700004
100429_DEC16,34.02432982,-118.2648688,700005
100429_DEC16,34.02341902,-118.2654402,700006
100429_DEC16,34.02323741,-118.2655551,700007
100429_DEC16,34.02323741,-118.2655551,710001
100429_DEC16,34.0225715,-118.2659754,710002
100429_DEC16,34.02195236,-118.2663694,710003
100429_DEC16,34.02195236,-118.2663694,720001
100429_DEC16,34.02183129,-118.266445,720002
100429_DEC16,34.02103053,-118.2669572,720003
100429_DEC16,34.02044441,-118.2673316,720004
100429_DEC16,34.02044441,-118.2673316,730001
100429_DEC16,34.02032332,-118.2674104,730002
100429_DEC16,34.01961062,-118.2678668,730003
100429_DEC16,34.01884012,-118.2683593,730004
100429_DEC16,34.01861173,-118.2685038,730005
100429_DEC16,34.01807234,-118.2688651,730006
100429_DEC16,34.01732113,-118.2693312,730007
100429_DEC16,34.01732113,-118.2693312,740001
100429_DEC16,34.01719731,-118.2694067,740002
100429_DEC16,34.01639377,-118.2699288,740003
100429_DEC16,34.01564799,-118.2704247,740004
100429_DEC16,34.01497105,-118.2708548,740005
100429_DEC16,34.01497105,-118.2708548,750001
100429_DEC16,34.01487473,-118.2709172,750002
100429_DEC16,34.01388405,-118.271564,750003
100429_DEC16,34.01331168,-118.2719251,750004
100429_DEC16,34.01331168,-118.2719251,760001
100429_DEC16,34.0131906,-118.2720006,760002
100429_DEC16,34.01225499,-118.2725916,760003
100429_DEC16,34.01197705,-118.2727721,760004
100429_DEC16,34.01193852,-118.2728017,760005
100429_DEC16,34.01186981,-118.2728048,760006
100429_DEC16,34.01174614,-118.2728143,760007
100429_DEC16,34.01128174,-118.2728161,760008
100429_DEC16,34.01128174,-118.2728161,770001
100429_DEC16,34.01114435,-118.2728156,770002
100429_DEC16,34.01113891,-118.2740035,770003
100429_DEC16,34.01086413,-118.2740026,770004
100429_DEC16,34.01086413,-118.2740026,780001
100429_DEC16,34.01008649,-118.274,780002
100429_DEC16,34.00913024,-118.2739969,780003
100429_DEC16,34.00838008,-118.2739945,780004
100429_DEC16,34.00838008,-118.2739945,790001
100429_DEC16,34.00821795,-118.2739939,790002
100429_DEC16,34.00817399,-118.2739938,790003
100429_DEC16,34.00737162,-118.2739912,790004
100429_DEC16,34.00656101,-118.2739852,790005
100429_DEC16,34.00582184,-118.2739828,790006
100429_DEC16,34.00582184,-118.2739828,800001
100429_DEC16,34.00568445,-118.2739823,800002
100429_DEC16,34.00564873,-118.2739822,800003
100429_DEC16,34.00474194,-118.2739792,800004
100429_DEC16,34.00397804,-118.2739767,800005
100429_DEC16,34.00397804,-118.2739767,810001
100429_DEC16,34.00384065,-118.2739763,810002
100429_DEC16,34.00290913,-118.2739733,810003
100429_DEC16,34.00208752,-118.2739706,810004
100429_DEC16,34.00202158,-118.2739703,810005
100429_DEC16,34.00174679,-118.2739694,810006
100429_DEC16,34.00174679,-118.2739694,820001
100429_DEC16,34.00106533,-118.2739672,820002
100429_DEC16,34.00030417,-118.273968,820003
100429_DEC16,34.00030417,-118.273968,830001
100429_DEC16,34.00016677,-118.2739676,830002
100429_DEC16,34.00009808,-118.2739674,830003
100429_DEC16,33.999249,-118.2739613,830004
100429_DEC16,33.99918855,-118.2739611,830005
100429_DEC16,33.99848235,-118.2739588,830006
100429_DEC16,33.99848235,-118.2739588,840001
100429_DEC16,33.99834496,-118.2739583,840002
100429_DEC16,33.99744092,-118.2739554,840003
100429_DEC16,33.99666054,-118.2739528,840004
100429_DEC16,33.99666054,-118.2739528,850001
100429_DEC16,33.99652314,-118.2739524,850002
100429_DEC16,33.99558064,-118.273946,850003
100429_DEC16,33.99523991,-118.2739449,850004
100429_DEC16,33.99470133,-118.2739431,850005
100429_DEC16,33.99438533,-118.2739421,850006
100429_DEC16,33.99438533,-118.2739421,860001
100429_DEC16,33.99424794,-118.2739416,860002
100429_DEC16,33.99348129,-118.2739391,860003
100429_DEC16,33.99348129,-118.2739391,870001
100429_DEC16,33.9933439,-118.2739387,870002
100429_DEC16,33.99243436,-118.273939,870003
100429_DEC16,33.99215957,-118.2739381,870004
100429_DEC16,33.99215957,-118.2739381,880001
100429_DEC16,33.99154956,-118.2739328,880002
100429_DEC16,33.99151384,-118.2739327,880003
100429_DEC16,33.99070598,-118.2739267,880004
100429_DEC16,33.99060431,-118.2739264,880005
100429_DEC16,33.98982666,-118.2739271,880006
100429_DEC16,33.98976897,-118.2739237,880007
100429_DEC16,33.9893403,-118.2739223,880008
100429_DEC16,33.9892139,-118.2739218,880009
100429_DEC16,33.98893912,-118.2739209,880010
100429_DEC16,33.98893912,-118.2739209,890001
100429_DEC16,33.9877493,-118.2739203,890002
100429_DEC16,33.98695242,-118.2739177,890003
100429_DEC16,33.98619126,-118.2739185,890004
100429_DEC16,33.98619126,-118.2739185,900001
100429_DEC16,33.98605387,-118.2739181,900002
100429_DEC16,33.98514433,-118.2739184,900003
100429_DEC16,33.98438592,-118.2739192,900004
100429_DEC16,33.98438592,-118.2739192,910001
100429_DEC16,33.98424852,-118.2739188,910002
100429_DEC16,33.98333623,-118.2739191,910003
100429_DEC16,33.98242944,-118.2739194,910004
100429_DEC16,33.98243056,-118.2734247,910005
100429_DEC16,33.98243056,-118.2734247,920001
100429_DEC16,33.98243707,-118.2717589,920002
100429_DEC16,33.98244442,-118.2697072,920003
100429_DEC16,33.98244442,-118.2697072,930001
100429_DEC16,33.98244479,-118.2695423,930002
100429_DEC16,33.98152976,-118.2695427,930003
100429_DEC16,33.9807631,-118.2695435,930004
100429_DEC16,33.9807631,-118.2695435,940001
100429_DEC16,33.98062571,-118.2695431,940002
100429_DEC16,33.97972442,-118.2695402,940003
100429_DEC16,33.97894678,-118.2695377,940004
100429_DEC16,33.97894678,-118.2695377,950001
100429_DEC16,33.97880939,-118.2695372,950002
100429_DEC16,33.97789985,-118.2695376,950003
100429_DEC16,33.97713045,-118.2695351,950004
100429_DEC16,33.97713045,-118.2695351,960001
100429_DEC16,33.97699306,-118.2695347,960002
100429_DEC16,33.97616595,-118.2695353,960003
100429_DEC16,33.97544877,-118.269533,960004
100429_DEC16,33.97486072,-118.2695344,960005
100429_DEC16,33.97486072,-118.2695344,970001
100429_DEC16,33.97472333,-118.269534,970002
100429_DEC16,33.97384401,-118.2695344,970003
